 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve,target_class
140.2890625,48.13882145,-0.065043535,0.064002457,5.127926421000001,26.63775057,5.638643749,33.12675832,0.0
155.5234375,58.73390269,-0.443881493,-0.6717874620000001,190.0719064,77.38430687,-1.6250976030000002,1.211440028,0.0
34.765625,29.0109043,4.914070917,30.48244321,34.32943144,61.62832415,1.964003469,,1.0
138.8359375,45.45392195,-0.096960911,0.08651574,3.08277592,18.52984588,7.179261897000001,60.66034644,0.0
129.171875,50.17455614,-0.125990142,-0.100984302,2.621237458,18.33229648,9.018426125,90.52653045,0.0
129.921875,48.58603988,-0.004091777,-0.265232723,2.831103679,17.53534136,9.581191345,112.3330207,0.0
59.4375,38.90166891,2.506676838,9.072247763,30.69230769,61.68628671,2.06924093,3.363576455,1.0
127.0078125,59.0454666,,-0.411903463,6.826923077000001,34.4510604,5.304458592,28.01143515,0.0
124.4921875,52.11300763,0.234271591,-0.428897861,2.114548495,13.50644919,10.16938814,137.6383157,0.0
109.8359375,51.48722192,0.553521154,0.207537876,5.711538462,30.17293357,5.884842052000001,35.69751362,0.0
103.7109375,49.65382544,0.654228067,0.475099564,1.482441472,13.24898656,11.69260667,,0.0
109.328125,40.83428962,0.411973,0.860075813,1.7349498330000002,15.44682807,10.93395786,135.7982181,0.0
128.34375,41.31631743,0.097544059,0.8343741140000001,6.773411371,32.265718400000004,4.987801561,24.9487924,0.0
107.015625,48.75993238,0.217235444,-0.191250636,9.358695652,,3.998266394,16.08290567,0.0
103.453125,42.2950683,0.310541036,1.014021075,8.614548495,33.80582596,4.353402537,,0.0
87.3125,40.50843855,,1.823715396,3.199832776,23.07141813,8.08818434,68.1167707,0.0
93.53125,35.64581355,0.381298137,2.463680419,1.58361204,12.24064173,12.15441474,191.5344969,0.0
141.359375,57.67280208,-0.028592878,-0.679372625,2.283444816,14.51930189,9.296009276,112.5610082,0.0
111.484375,54.09222223,0.183471337,-0.511054511,1.595317726,16.5406698,11.58973821,142.88021469999995,0.0
138.4375,53.23206124,-0.150887841,-0.440101524,2.596989967,,8.685055551,95.84736248,0.0
135.65625,52.42978005,0.194884581,-0.315938907,11.2909699,41.88408457,3.6589593,12.15849193,0.0
129.2109375,45.04297468,,0.455883013,4.806020067,24.36351988,6.308492375,43.35302659,0.0
149.8359375,44.65698737,-0.24037832,0.236567948,3.092809365,19.649663600000004,8.012021164,73.71996671,0.0
114.28125,50.99753939,0.184302888,-0.160459565,2.4966555180000003,20.58340133,8.914060474,82.85815564,0.0
132.4453125,46.76483865,0.29441169100000003,0.532349885,1.828595318,14.95801991,10.12947004,120.95203909999998,0.0
129.734375,46.96216635,0.175046487,-0.08598678400000001,2.7943143810000004,16.39896097,8.565818238,92.74908115,0.0
112.9921875,45.7669873,0.333708543,-0.071911959,1.0025083609999998,10.14909722,17.54918106,376.7003755,0.0
144.5546875,49.36832369,-0.134165552,0.003438096,4.556856187,27.77542425,7.012918477,50.59069134,0.0
124.90625,48.14081518,0.038350254,-0.374934811,6.331103679,30.811636199999995,5.2648667410000005,28.26597784,0.0
105.4921875,43.50071768,0.154180228,0.4081166020000001,2.316053512,19.09850656,9.37722931,95.20094581,0.0
122.203125,48.41622265,0.264827081,0.266472146,4.383779264,25.438049300000007,6.557773509,45.73978212,0.0
114.2734375,52.59065311,0.249983111,-0.018480168,2.465719064,17.47366854,8.411201128,79.97744117,0.0
121.2890625,50.42881002,-0.00469725,-0.388687247,1.837792642,16.18751252,10.16300888,113.978823,0.0
156.15625,54.76589916,,0.010932053999999998,6.780100334,32.2011753,5.454892942000001,30.33757235,0.0
78.2421875,46.93858123,1.246941014,1.5360044080000002,4.137959866,19.52509398,6.430717039,51.00142806,0.0
80.53125,43.51686769,1.199865696,2.200254671,69.88461538,88.24130831,0.8221276059999999,-0.870616022,0.0
111.0390625,51.44086446,0.416725544,-0.204982108,2.243311037,19.86640575,9.646814881000001,97.69811867,0.0
121.890625,56.07740665,0.207861982,-0.46126577,1.356187291,11.9889255,12.25849788,197.0392549,0.0
84.71875,37.83515592,0.552948261,2.249434276,2.346153846,19.11548892,9.204093262,92.11715428,0.0
145.890625,46.32278637,,0.27545076,1.198160535,10.13223753,16.11271855,348.5035766000001,0.0
95.390625,57.46088811,0.850746019,-0.112877154,11.2951505,44.43700976,4.134948641,16.12329194,1.0
128.03125,50.70101353,-0.080792265,-0.205665321,2.106187291,14.92308917,9.806012962,117.60316609999998,0.0
87.9609375,39.56351743,0.500335028,1.6255211040000002,1.428093645,16.06687571,12.39796438,162.0816665,0.0
118.078125,55.25842828,0.163825454,-0.381304525,1.826923077,12.06085368,11.60002518,189.4207036,0.0
77.796875,35.18197323,0.921746824,3.845722797,1.306020067,12.36566602,12.8781217,200.9598493,0.0
124.359375,46.58640064,-0.075299617,0.08773285800000001,8.898829431000001,35.62737709,4.40829565,19.14323004,0.0
87.6796875,33.65262192,,3.63670687,2.489130435,18.81819502,8.696992567999999,80.83893355,0.0
40.3125,35.80366383,4.0733731560000015,19.88730243,112.2324415,92.99605928,0.26174174,-1.439425217,1.0
119.984375,52.33425987,0.347714433,-0.179061253,13.60033445,46.52741271,3.553471573,11.67551511,0.0
116.1015625,42.33826576,0.156819789,0.386706583,1.040133779,11.01542221,15.35201556,287.3521665,0.0
119.5234375,46.91514362,0.058310711,0.32660048,2.361204013,20.6753444,9.506377231,93.94096789,0.0
134.53125,42.52755311,-0.077448712,0.340030538,5.237458193999999,,5.940689717000001,35.52255113,0.0
113.15625,45.03530516,0.180366534,0.277299368,2.52090301,16.33866286,8.824052831,94.24271344,0.0
136.4609375,42.44792809,-0.260856164,0.128375425,2.789297659,16.22008187,8.595853598,92.58924632,0.0
111.640625,33.68274187,0.4875846620000001,2.344277343,2.679765886,20.47015019,8.221573702,70.43783432,0.0
105.53125,42.45455981,0.6231253379999999,0.8355896140000001,31.11120401,69.20399182,2.406829435,4.553456286,0.0
35.28125,28.5790946,5.23632976,32.56266993,86.63461538,87.93267286,0.447778252,-1.223316058,1.0
84.0234375,37.2633082,0.771127977,2.860835574,1.964882943,14.82587128,9.982282552000001,119.7865478,0.0
120.109375,44.67595732,0.135882319,0.430139559,4.497491639,27.87191488,6.679573611,45.19770070000001,0.0
115.234375,47.35000732,0.042642097,0.289257185,5.892140467999999,26.84850173,4.921921611,25.444174,0.0
94.1484375,46.52134756,0.542460906,0.849658239,2.900501672,18.88003758,7.870104051,70.16052959,0.0
127.4609375,49.00412966,-0.026539027000000003,0.03357366,2.372909699,14.22342274,9.196550889,113.8189623,0.0
110.1875,47.96250977,0.223402265,-0.080502132,1.851170569,14.62769594,10.92698446,147.7557622,0.0
125.7421875,55.70208789,0.19700455100000006,-0.303184627,4.951505017,29.66452882,6.384963147000001,41.36215101,0.0
178.859375,51.21473396,-1.496371714,1.952786972,98.61538462,61.70981474,-0.418892522,-0.698421031,0.0
113.0625,45.72963174,,0.801163159,2.063545151,13.09436968,11.72129534,182.0660548,0.0
121.984375,50.4162338,0.08812521,-0.3693595670000001,1.763377926,17.53019459,10.74078873,119.82797859999998,0.0
113.1171875,47.34722489,0.230998641,0.134152129,1.799331104,16.17080236,10.37532035,118.131919,0.0
143.015625,54.77154034,-0.413088168,-0.288130869,1.898829431,18.26140452,11.13279641,131.3957269,0.0
112.84375,49.0513821,0.074551957,-0.083599689,3.410535117,22.60171042,7.240796922,54.81113215,0.0
93.25,34.98950736,0.7839812079999999,3.03771548,2.067725753,17.13592898,9.422644494,96.80477764,0.0
140.4765625,47.23064498,0.033423882,0.323517536,6.134615385,30.57062287,5.222628655,27.24339541,0.0
116.3203125,48.69819902,0.33150628600000004,0.640744905,1.5025083609999998,11.03282547,13.56838477,255.2151904,0.0
144.2265625,50.70028582,0.016754755,-0.500284235,1.822742475,11.99576365,11.81976185,193.4587445,0.0
95.765625,37.21694934,0.489793899,1.494613764,4.908026756,24.03915916,6.0870603810000015,41.49961829,0.0
123.4453125,43.32143822,0.207214245,0.497773761,4.473244147,,6.226778865,42.41047966,0.0
99.6796875,35.63397553,0.678288175,3.3301728510000004,1.274247492,11.05368652,15.08435519,288.4110025,0.0
88.7109375,39.20960348,0.442559516,1.47792477,4.444816054,,6.633057813,47.29675305,0.0
112.0078125,54.19200473,0.167162487,-0.447538557,2.843645485,16.27824948,8.17373798,83.25530782,0.0
128.8125,45.60457591,-0.021829744,0.367626019,4.872909699,,6.23498471,40.15793412,0.0
152.53125,38.87960935,-0.383954674,0.936588392,7.977424749,33.06151648,4.358179585,19.02963189,0.0
112.234375,62.63316868,0.267969926,-0.793115693,1.943979933,12.20385811,11.25103669,180.7306285,0.0
102.0078125,46.04540831,0.4727702070000001,0.441978284,1.841137124,14.45057937,10.90055661,140.1958864,0.0
76.1171875,35.04230058,1.554362622,6.395422289,3.465719064,23.74138806,8.109397541,69.62443497,1.0
133.1328125,53.14225765,-0.126608942,0.059228296,3.99916388,24.23934789,7.0917021610000015,54.07947647,0.0
138.9609375,42.43439833,-0.09102117,0.536304689,4.425585283999999,20.26918302,6.010052412,44.28739002,0.0
24.1328125,30.82317794,6.257434127000001,41.92342777,92.59782609,57.70332348,0.951039989,0.825567594,1.0
93.09375,33.93800356,0.6538118620000001,3.12618798,2.988294314,18.32797257,8.180423192000001,77.01143202,0.0
6.1875,30.85392753,6.476885002,42.92076344,138.19565219999998,49.30449566,0.393867458,0.097969341,1.0
100.6015625,45.04534865,0.249202362,0.458142375,5.115384615,24.70887477,5.376841692,30.93481785,0.0
105.4921875,40.4339732,,0.892812175,7.637123746,33.27636521,4.898199844,24.41945068,0.0
110.0,39.65062263,0.159820293,1.134151128,4.081103679,24.84320619,7.212596737,56.29487238,0.0
19.8359375,30.27033855,6.005141397,37.93730527,48.71655518,64.52055564,1.312654577,1.02515552,1.0
85.15625,34.3535018,0.593275171,3.490962797,0.915551839,11.5557566,15.86679517,288.4416633,0.0
129.5859375,49.56979413,,-0.280117884,3.927257525,21.06250991,7.339362305,61.8314129,0.0
114.734375,51.25388467,0.028809768,-0.154890504,1.351170569,11.61349796,13.50386545,,0.0
82.203125,36.47202682,,2.608428668,3.015050167,16.832932,7.461255652,,0.0
124.3671875,45.7031644,0.095608929,0.052797869,9.265886287999999,38.23678044,4.430984586,19.05845484,0.0
97.7421875,59.56407344,0.693107927,-0.614142075,206.5292642,38.76869466,-2.636857381,8.08010064,0.0
113.5859375,57.36104505,0.206403937,-0.661606668,4.474080268,26.21808773,6.486768204,44.15021749,0.0
118.8828125,50.14379652,0.077970923,-0.026159842000000003,4.006688963,25.81070055,7.100489951,52.20467122,0.0
151.609375,43.88234169,-0.263480604,0.266983591,1.391304348,13.97450107,13.10261157,196.2178094,0.0
92.515625,40.16216822,0.456172209,1.41609128,0.704013378,,18.34727978,392.4687293,0.0
117.109375,54.16096299,,-0.583776328,1.501672241,13.93171944,11.53672683,154.8787997,0.0
117.6484375,48.64678012,0.298526987,-0.141340141,4.16638796,24.32180245,7.318673454,57.73686667,0.0
113.5625,49.29229624,-0.089233459,-0.378080331,1.900501672,14.44899806,9.927803007,120.2876363,0.0
144.4453125,50.99951112,-0.048964993,-0.550595378,75.48745819,92.19078667,0.544165349,-1.493601435,0.0
126.3515625,53.43945023,-0.120530793,-0.457801414,2.285953177,14.16860383,9.530531603,120.6550092,0.0
84.4375,40.31414725,0.7966459370000001,1.536038171,1.75083612,,11.44233305,129.2822375,1.0
140.7578125,45.20659971,-0.218455445,0.115754705,4.894648828999999,25.64761076,5.93660406,37.08121882,0.0
28.1953125,28.26494588,5.782784692999999,38.42635015,50.84866221,68.16279701,1.582775516,1.50794345,1.0
138.21875,49.24523097,-0.136890321,0.059618966,2.16722408,12.876262,9.991939458,145.34880149999995,0.0
103.578125,48.43126724,0.216186787,-0.106991892,2.196488294,17.37402882,10.07310465,111.438789,0.0
119.1875,49.99542948,,-0.339278078,3.440635452,23.13828548,7.800343375,65.29754429,0.0
119.171875,45.6431658,0.065715012,-0.151279983,96.42558528,,-0.139754278,-1.927766388,0.0
113.6484375,48.44448979,0.287554759,0.468925597,5.285953177,27.86356217,5.633567351,32.55552683,0.0
131.140625,45.17530686,0.147093975,0.483849724,1.970735786,13.84390934,10.12517232,130.2890331,0.0
141.140625,53.90149209,-0.323419544,-0.076720581,117.5994983,73.84700785,-0.8910250679999999,-1.024357737,0.0
95.90625,43.26272167,0.53370468,0.924695803,1.012541806,9.990497654,17.10596483,374.3312308,0.0
124.2265625,49.76463586,-0.078626992,0.018097348,1.653846154,10.96805533,13.37211061,256.5692616,0.0
84.7109375,39.26813919,0.579595905,2.110222245,2.9389632110000004,18.17879761,7.724942578999999,70.28972319,0.0
93.0546875,35.87245387,0.255631359,2.276566693,0.385451505,9.471101392000001,24.80000616,619.4467172999998,0.0
96.421875,55.19392083,0.8681889279999999,0.366462663,11.26755853,41.40551541,3.680401252,12.492984,1.0
108.25,49.38591651,0.177870804,-0.039526747,1.6697324409999998,15.02229515,11.23728158,141.9560219,0.0
98.5625,36.69080053,,1.959867547,1.611204013,14.58031069,11.22989052,144.9199403,0.0
92.8984375,44.09929135,0.595469631,1.046016427,2.040133779,,9.769502212999999,116.56366640000002,0.0
116.828125,50.66836251,0.07775293900000001,-0.418057563,1.059364548,9.86602499,17.42864586,390.2915806,0.0
88.1875,36.98284019,0.603616328,2.029933088,2.944816054,18.10306701,8.077930099,75.33928043,0.0
8.109375,33.709057200000004,6.1721090610000005,39.09460495,111.3520067,72.14791573,0.204405534,-1.189458162,1.0
111.4140625,51.35971904,0.203979579,-0.059454576,2.16638796,,9.718908124,105.5028997,0.0
127.4609375,54.57776882,-0.03797252,-0.45678437,4.184782609,24.18394121,6.511499002000001,45.95246331,0.0
82.234375,36.1292135,0.89089671,2.863593784,9.016722408,35.90753251,4.267812218,18.32350327,0.0
140.3203125,46.32526538,-0.052068203,-0.06498140200000001,4.448996656,25.38390664,6.607653900000002,46.11811891,0.0
103.8125,42.74063311,0.33246784,0.641666399,1.678093645,16.20368538,11.60825655,147.8254796,0.0
136.078125,49.75935989,-0.120659883,-0.26489637,4.97909699,26.72566685,5.727605555,33.70989053,0.0
125.515625,46.53106898,0.171547145,0.26619229,2.816889632,18.21170787,7.786430359,69.74505998,0.0
89.4375,39.44908705,0.70914704,2.225240098,1.358695652,12.83973503,12.59564802,192.27405080000003,0.0
112.3125,50.77027766,0.117305791,-0.058458115,2.550167224,14.55786488,9.366213566,,0.0
128.5234375,51.30179773,0.047370213,-0.288825261,3.5652173910000005,,7.369965136,60.30353631,0.0
85.4375,43.2309839,1.218083161,3.110134495,13.99665552,46.64198651,3.399783106,10.5567558,1.0
91.265625,37.07709122,,2.156588095,1.722408027,12.84516226,12.19876901,189.7888225,0.0
108.875,43.91166559,,0.436190705,1.834448161,,10.85831125,135.53522969999997,0.0
114.296875,43.4932393,0.381488293,0.4228789570000001,1.433110368,11.08267988,13.50788032,252.3253882,0.0
49.015625,43.05428702,3.1428019660000004,10.5891811,12.48996656,41.17180822,3.778334085,14.25652381,1.0
106.6953125,50.84820526,,-0.15745336,1.77090301,16.34829999,11.28608695,139.4710544,0.0
112.765625,47.82822199,0.6324877489999999,0.25435499300000003,1.766722408,13.307274,10.58392149,143.8947196,0.0
89.46875,36.90040174,0.661990223,2.18534282,1.610367893,,10.81406239,,0.0
87.5546875,38.99094618,0.6126208710000001,1.69943492,2.647157191,,8.244277356,75.56304754,0.0
101.2265625,45.66748276,0.445996988,0.628428701,2.64632107,14.33297861,8.660364612999999,104.8819204,0.0
118.1875,42.386936,0.265020165,0.937360567,1.108695652,11.06048548,14.40325878,265.5501099,0.0
146.640625,50.42084365,-0.112763127,-0.371108552,4.716555184,28.45983663,6.689232557,45.80444821,0.0
127.7578125,50.88463454,,-0.355607154,8.003344482000001,32.54988436,4.620943141000001,21.53392486,0.0
108.96875,57.75175018,0.146666548,-0.477347654,3.192307692,,8.333335969,87.89481476,0.0
134.9453125,48.4365417,-0.054431105,0.328758906,1.783444816,11.99229519,11.555694699999998,189.4924129,0.0
96.4375,42.65683379,,1.246781457,9.024247492,39.44269261,4.460895519,19.11613138,0.0
130.671875,51.79000709,0.195775314,-0.293984884,1.301003344,13.5820201,13.11502658,189.3887609,0.0
113.015625,47.01478896,,0.04554847,27.02508361,61.0081636,1.97380132,2.26485176,0.0
112.0625,48.91762048,0.134732315,0.27264303,2.806020067,20.63415595,8.257275887,73.27684936,0.0
119.125,48.40486804,0.114413407,-0.25837618100000004,2.510869565,20.0270899,9.305019633999999,93.20574221,0.0
113.828125,51.0543689,0.243040185,-0.045475218,4.408862876000001,25.0190741,6.254938106,40.68958564,0.0
127.328125,55.47171427,0.090975731,-0.444422013,69.9138796,73.24054455,0.434744223,-1.249027167,0.0
47.484375,36.88452936,3.298800061,12.12951179,24.3812709,55.06566573,2.495798577,5.598441147000001,1.0
119.09375,45.56767589,0.214837208,-0.006947766,2.315217391,14.14403224,9.062543892,112.0907261,0.0
95.8828125,48.97346557,0.545903436,0.7309570129999999,1.739130435,12.56782963,11.53867869,174.4031315,0.0
97.96875,41.15024634,0.46644888,0.7734085079999999,2.793478261,16.88179416,8.212193881000001,80.95537217,0.0
133.6171875,51.97116404,,-0.331804504,2.87458194,16.11105863,8.214414885,86.65019962,0.0
